Cement;FlyAsh;Water;Superplasticizer;CoarseAggregate;FineAggregate;Age;Strength
185.7;101.5;166.9;7.5;1006.4;905.4;90;38.28
170.7;127.4;161.8;7.8;1090;798.5;3;17.11
180.7;127.4;166.1;7.8;1090;798.6;14;23.34
160.7;127.4;162.1;7.8;1090;804;28;27.41
242.1;125.6;184.3;5.7;1057.6;779.3;14;21.91
212.1;125.6;184.2;5.7;1057.6;779.3;28;21.81
212.1;124.6;184.2;5.7;1057.6;779.3;56;33.21
240;118.3;191.9;4.6;1029.4;758.6;90;32.31
195.3;124.2;160.8;9.9;1088.1;802.6;3;9.49
190.7;124.2;161.9;9.9;1088.1;802.6;14;23.1
168.1;168.3;172.4;4.5;1058.6;780.1;3;11.78
136.1;163.3;176.5;4.5;1058.6;780.1;14;27.49
165.2;161.3;172.4;4.5;1058.6;780.1;28;25.2
230.6;118.2;195.2;6.1;1028.1;757.6;3;15.47
228.7;119.2;191.3;6.1;1028.1;757.6;14;21.31
229.7;118.2;195.2;6.1;1028.1;757.6;90;42.37
248.1;94.1;186.7;7;949.9;847;3;21.43
238.1;92.1;188.7;7;949.9;847;14;26.6
248.1;92.1;186.7;7;949.9;847;90;47.83
250.5;95.7;187.4;5.5;956.9;861.2;3;12.78
251;95.7;186.5;5.5;956.9;861.2;14;27.4
212.5;124.9;159;7.8;1085.4;799.5;3;18.42
212.6;124.7;181.9;5.8;1028.4;757.7;14;30.92
251.8;124.2;188.5;6.4;1028.4;810.7;56;34.9
251.9;122.8;181.6;6.4;1028.4;757.7;90;45.2
181.8;122.8;169.6;7.6;1055.6;810.7;3;14.61
181.8;122.8;170.6;7.6;1055.6;810.7;14;22.93
181.8;122.8;169.6;7.6;1055.6;777.8;28;28.79
182.5;124.4;170.6;7.6;1055.6;777.8;56;37.77
181.4;121.8;169.6;7.6;1055.6;777.8;90;46.77
250.1;124.8;168.3;9.4;961.2;865;90;45.99
230.1;124.8;160.6;11.8;973.9;875.6;3;22.11
220.8;124.8;146.1;12.4;1006;899.8;28;31.74
210.8;124.8;143.3;12;1086.8;800.9;56;62.55
220.8;124.7;141.1;12;1086.8;800.9;90;62.32
213.7;124.7;154.8;10.2;1053.5;776.4;28;43.15
213.7;124.8;155;10.2;1053.5;776.4;56;47.14
213.7;124.8;154.8;10.2;1053.5;77.6;90;54.09
213.5;124.8;155.6;11.7;1052.3;775.5;3;19.64
213.5;124.8;154.6;11.7;1052.3;800;14;36.98
213.5;124.8;155.7;11.7;1052.3;800;28;42.44
213.5;124.8;154.6;11.7;1052.3;800.5;56;49.43
213.5;124.8;155.5;11.7;1052.3;800;90;58.4
218.9;124.8;158.5;11.3;1078.7;794.9;56;40.21
218.9;124.8;160.1;11.3;1078.7;794.9;90;45.25
376;124.8;216.7;0;1003.5;762.4;3;18.98
190.3;124.8;165.6;9.9;1079;798.9;14;20.22
165;124.8;163.8;0;1005.6;900.9;28;26.11
190.3;124.8;165.3;9.9;1079;798.9;28;26.67
250;124.8;192.8;5.3;948.9;857.2;28;28.21
213.5;124.8;159.2;11.7;1043.6;771.9;28;44.61
194.7;124.8;171.5;7.5;998;901.8;28;39.27
251.4;124.8;192.9;5.8;1043.6;754.3;28;36.99
310;124.8;189.9;0;936.2;712.2;28;40.94
280;124.8;189.9;0;936.2;700;7;36.57
290.2;124.8;183.6;0;1069.2;754.3;7;23.18
252.5;124.8;186.7;0;1111.6;784.3;7;13.11
339;124.8;197;0;968;800;3;18.24
257;124.8;192.8;0;968;856.5;90;27.54
254;124.8;192.7;0;968;799.7;90;28.66
307;124.8;193.5;0;968;799.5;28;29.33
307;124.8;191.2;0;968;799.5;90;35.92
290;124.8;192.2;0;936;755;28;46.29
297;124.8;191.3;0;936;755;90;51.18
299;124.8;187.3;0;966;763;3;17.11
288;124.8;188.6;0;966;758;7;21.21
289;124.8;188.6;0;966;759;14;29.22
292;124.8;187.3;0;966;763;28;33.55
331;124.8;192.2;0;978;801;90;40.1
